mouse_id,study,group,intrinsic_gamma_peak,distance_from_40hz,stimulation_frequency,treatment_response,outcome_type,data_source,source
Etter_177,Etter_2019,PVJ20+_ChETA,40.0,0.0,40.0,0.2683523654159869,LFP_stim_baseline_ratio_40hz,published_cohort_table,
Etter_181,Etter_2019,PVJ20+_ChETA,10.0,30.0,40.0,0.6288743882544862,LFP_stim_baseline_ratio_40hz,published_cohort_table,
Etter_183,Etter_2019,PVJ20+_ChETA,10.0,30.0,40.0,1.0,LFP_stim_baseline_ratio_40hz,published_cohort_table,
Etter_184,Etter_2019,PVJ20+_ChETA,10.0,30.0,40.0,0.0289559543230016,LFP_stim_baseline_ratio_40hz,published_cohort_table,
Etter_236,Etter_2019,PVJ20+_ChETA,10.0,30.0,40.0,0.4168026101141925,LFP_stim_baseline_ratio_40hz,published_cohort_table,
Etter_238,Etter_2019,PVJ20+_ChETA,40.0,0.0,40.0,0.3115823817292006,LFP_stim_baseline_ratio_40hz,published_cohort_table,
Etter_255,Etter_2019,PVJ20+_ChETA,10.0,30.0,40.0,0.0473083197389885,LFP_stim_baseline_ratio_40hz,published_cohort_table,
Etter_333,Etter_2019,PVJ20+_ChETA,40.0,0.0,40.0,0.5146818923327896,LFP_stim_baseline_ratio_40hz,published_cohort_table,
Etter_334,Etter_2019,PVJ20+_ChETA,10.0,30.0,40.0,0.0,LFP_stim_baseline_ratio_40hz,published_cohort_table,
Etter_354,Etter_2019,PVJ20+_ChETA,10.0,30.0,40.0,0.1223491027732463,LFP_stim_baseline_ratio_40hz,published_cohort_table,
Iaccarino_20_Hz_1_hr_VC_01,Iaccarino_2016,5xFAD,40.6983496385932,20.0,20.0,0.0,amyloid_ab40_reduction_vc,published_cohort_table,NIHMS886326_ExtDataTable1_SWR_Fig1
Iaccarino_20_Hz_1_hr_VC_02,Iaccarino_2016,5xFAD,40.67802277957424,20.0,20.0,0.1617228635902802,amyloid_ab40_reduction_vc,published_cohort_table,NIHMS886326_ExtDataTable1_SWR_Fig1
Iaccarino_20_Hz_1_hr_VC_03,Iaccarino_2016,5xFAD,40.54304304735896,20.0,20.0,0.0,amyloid_ab40_reduction_vc,published_cohort_table,NIHMS886326_ExtDataTable1_SWR_Fig1
Iaccarino_20_Hz_1_hr_VC_04,Iaccarino_2016,5xFAD,38.1870063453062,20.0,20.0,0.0,amyloid_ab40_reduction_vc,published_cohort_table,NIHMS886326_ExtDataTable1_SWR_Fig1
Iaccarino_20_Hz_1_hr_VC_05,Iaccarino_2016,5xFAD,41.37945731853612,20.0,20.0,0.0,amyloid_ab40_reduction_vc,published_cohort_table,NIHMS886326_ExtDataTable1_SWR_Fig1
Iaccarino_20_Hz_1_hr_VC_06,Iaccarino_2016,5xFAD,38.51412087063128,20.0,20.0,0.2531641429832881,amyloid_ab40_reduction_vc,published_cohort_table,NIHMS886326_ExtDataTable1_SWR_Fig1
Iaccarino_40_Hz_1_hr_VC_01,Iaccarino_2016,5xFAD,40.6983496385932,0.0,40.0,0.8163325375282074,amyloid_ab40_reduction_vc,published_cohort_table,NIHMS886326_ExtDataTable1_SWR_Fig1
Iaccarino_40_Hz_1_hr_VC_02,Iaccarino_2016,5xFAD,40.67802277957424,0.0,40.0,0.8273211891290839,amyloid_ab40_reduction_vc,published_cohort_table,NIHMS886326_ExtDataTable1_SWR_Fig1
Iaccarino_40_Hz_1_hr_VC_03,Iaccarino_2016,5xFAD,40.54304304735896,0.0,40.0,0.9792000523269124,amyloid_ab40_reduction_vc,published_cohort_table,NIHMS886326_ExtDataTable1_SWR_Fig1
Iaccarino_40_Hz_1_hr_VC_04,Iaccarino_2016,5xFAD,38.1870063453062,0.0,40.0,1.0,amyloid_ab40_reduction_vc,published_cohort_table,NIHMS886326_ExtDataTable1_SWR_Fig1
Iaccarino_40_Hz_1_hr_VC_05,Iaccarino_2016,5xFAD,41.37945731853612,0.0,40.0,0.6856460738463551,amyloid_ab40_reduction_vc,published_cohort_table,NIHMS886326_ExtDataTable1_SWR_Fig1
Iaccarino_40_Hz_1_hr_VC_06,Iaccarino_2016,5xFAD,38.51412087063128,0.0,40.0,0.5282728848480883,amyloid_ab40_reduction_vc,published_cohort_table,NIHMS886326_ExtDataTable1_SWR_Fig1
Iaccarino_80_Hz_1_hr_VC_01,Iaccarino_2016,5xFAD,40.6983496385932,40.0,80.0,0.0859796579128101,amyloid_ab40_reduction_vc,published_cohort_table,NIHMS886326_ExtDataTable1_SWR_Fig1
Iaccarino_80_Hz_1_hr_VC_02,Iaccarino_2016,5xFAD,40.67802277957424,40.0,80.0,0.1008928279425711,amyloid_ab40_reduction_vc,published_cohort_table,NIHMS886326_ExtDataTable1_SWR_Fig1
Iaccarino_80_Hz_1_hr_VC_03,Iaccarino_2016,5xFAD,40.54304304735896,40.0,80.0,0.0,amyloid_ab40_reduction_vc,published_cohort_table,NIHMS886326_ExtDataTable1_SWR_Fig1
Iaccarino_80_Hz_1_hr_VC_04,Iaccarino_2016,5xFAD,38.1870063453062,40.0,80.0,0.0,amyloid_ab40_reduction_vc,published_cohort_table,NIHMS886326_ExtDataTable1_SWR_Fig1
Iaccarino_80_Hz_1_hr_VC_05,Iaccarino_2016,5xFAD,41.37945731853612,40.0,80.0,0.0,amyloid_ab40_reduction_vc,published_cohort_table,NIHMS886326_ExtDataTable1_SWR_Fig1
Iaccarino_80_Hz_1_hr_VC_06,Iaccarino_2016,5xFAD,38.51412087063128,40.0,80.0,0.0,amyloid_ab40_reduction_vc,published_cohort_table,NIHMS886326_ExtDataTable1_SWR_Fig1
