mouse_id,intrinsic_gamma_peak,distance_from_40hz,stimulation_frequency,treatment_response_40hz,amyloid_reduction,group,data_source
Iaccarino_20_Hz_1_hr_VC_01,40.6983496385932,20.0,20.0,0.0,0.0,5xFAD,published_cohort_table
Iaccarino_20_Hz_1_hr_VC_02,40.67802277957424,20.0,20.0,0.1617228635902802,0.1162736012143987,5xFAD,published_cohort_table
Iaccarino_20_Hz_1_hr_VC_03,40.54304304735896,20.0,20.0,0.0,0.0,5xFAD,published_cohort_table
Iaccarino_20_Hz_1_hr_VC_04,38.1870063453062,20.0,20.0,0.0,0.0,5xFAD,published_cohort_table
Iaccarino_20_Hz_1_hr_VC_05,41.37945731853612,20.0,20.0,0.0,0.0,5xFAD,published_cohort_table
Iaccarino_20_Hz_1_hr_VC_06,38.51412087063128,20.0,20.0,0.2531641429832881,0.1820169761376463,5xFAD,published_cohort_table
Iaccarino_40_Hz_1_hr_VC_01,40.6983496385932,0.0,40.0,0.8163325375282074,0.5869171607507804,5xFAD,published_cohort_table
Iaccarino_40_Hz_1_hr_VC_02,40.67802277957424,0.0,40.0,0.8273211891290839,0.594817652157866,5xFAD,published_cohort_table
Iaccarino_40_Hz_1_hr_VC_03,40.54304304735896,0.0,40.0,0.9792000523269124,0.7040137298200839,5xFAD,published_cohort_table
Iaccarino_40_Hz_1_hr_VC_04,38.1870063453062,0.0,40.0,1.0,0.7189682314120673,5xFAD,published_cohort_table
Iaccarino_40_Hz_1_hr_VC_05,41.37945731853612,0.0,40.0,0.6856460738463551,0.4929577450879416,5xFAD,published_cohort_table
Iaccarino_40_Hz_1_hr_VC_06,38.51412087063128,0.0,40.0,0.5282728848480883,0.3798114217221807,5xFAD,published_cohort_table
Iaccarino_80_Hz_1_hr_VC_01,40.6983496385932,40.0,80.0,0.0859796579128101,0.0618166425869876,5xFAD,published_cohort_table
Iaccarino_80_Hz_1_hr_VC_02,40.67802277957424,40.0,80.0,0.1008928279425711,0.0725387380680323,5xFAD,published_cohort_table
Iaccarino_80_Hz_1_hr_VC_03,40.54304304735896,40.0,80.0,0.0,0.0,5xFAD,published_cohort_table
Iaccarino_80_Hz_1_hr_VC_04,38.1870063453062,40.0,80.0,0.0,0.0,5xFAD,published_cohort_table
Iaccarino_80_Hz_1_hr_VC_05,41.37945731853612,40.0,80.0,0.0,0.0,5xFAD,published_cohort_table
Iaccarino_80_Hz_1_hr_VC_06,38.51412087063128,40.0,80.0,0.0,0.0,5xFAD,published_cohort_table
